,I-E,N-S,T-F,J-P
269,0,0,1,1
270,0,0,1,0
271,0,0,1,1
272,0,0,0,1
273,0,0,1,1
274,0,0,0,1
275,0,0,0,0
276,0,0,0,0
277,0,0,1,0
278,0,0,1,1
279,0,0,0,1
280,0,0,0,0
281,1,0,1,1
282,0,0,1,1
283,0,0,0,1
284,1,0,0,0
285,0,0,0,0
286,0,0,1,0
287,0,0,1,1
288,1,0,0,0
289,0,0,0,1
290,0,0,0,1
291,0,0,1,1
292,0,0,0,1
293,1,0,0,1
294,0,0,0,0
295,0,0,0,1
296,0,0,0,0
297,0,0,1,1
298,0,0,1,0
299,0,0,1,0
300,0,0,1,1
301,1,0,1,1
302,0,0,0,1
303,0,1,0,1
304,0,0,0,0
305,1,0,1,1
306,1,0,1,1
307,1,0,0,1
308,0,0,0,1
309,0,0,1,0
310,0,0,0,0
311,0,0,1,1
312,1,0,1,1
313,1,0,1,0
314,1,0,0,1
315,0,1,1,1
316,0,0,1,1
317,0,0,1,1
318,0,0,1,1
319,0,0,0,0
320,1,0,0,1
321,1,0,0,1
322,0,0,0,1
323,0,0,0,1
324,0,0,1,0
325,0,0,1,0
326,0,0,0,1
327,1,0,1,1
328,0,0,1,1
329,0,0,0,0
330,0,0,0,0
331,0,0,1,1
332,0,0,1,1
333,0,0,1,1
334,0,1,1,1
335,0,1,1,0
336,0,0,1,1
337,0,0,0,1
338,0,0,1,1
339,0,0,0,0
340,0,0,0,0
341,1,0,0,1
342,1,0,1,0
343,0,1,1,0
344,0,0,0,1
345,0,1,1,1
346,1,1,0,1
347,0,0,1,1
348,0,0,0,1
349,0,0,0,0
350,0,0,1,1
351,0,0,0,0
352,0,0,1,1
353,0,0,1,1
354,0,0,1,0
355,0,0,1,1
356,1,0,0,1
357,0,0,0,1
358,0,0,0,1
359,0,0,1,0
360,1,0,1,1
361,0,0,0,0
362,1,0,0,1
363,1,0,1,1
364,0,0,1,0
365,0,1,0,0
366,0,0,1,1
367,0,0,1,1
368,0,0,1,1
369,0,0,0,0
370,0,0,0,0
371,0,0,1,1
372,0,0,1,0
373,0,0,1,1
374,0,0,1,1
375,1,0,0,1
376,0,0,0,0
377,0,0,1,1
378,0,0,0,0
379,0,0,0,0
380,0,0,1,1
381,1,0,1,1
382,0,1,0,1
383,0,0,1,1
384,0,1,1,1
385,0,0,1,1
386,1,0,1,1
387,1,0,0,0
388,1,0,1,1
389,0,0,1,0
390,0,0,1,0
391,0,1,1,1
392,0,0,1,1
393,0,0,0,1
394,1,1,0,1
395,1,0,0,1
396,1,0,1,1
397,0,0,1,1
398,0,0,1,1
399,0,0,1,0
400,0,0,0,0
401,0,1,1,1
402,0,0,1,0
403,0,1,1,1
404,0,0,1,1
405,1,0,1,1
406,0,0,0,1
407,0,0,1,1
408,0,0,1,0
409,1,0,1,1
410,0,0,1,1
411,0,0,1,0
412,0,0,0,1
413,0,0,1,0
414,0,0,1,0
415,0,1,1,0
416,0,0,1,0
417,0,0,1,1
418,0,0,1,0
419,0,0,1,1
420,0,0,0,1
421,1,0,0,1
422,0,0,0,1
423,0,0,1,0
424,0,0,1,0
425,0,0,0,0
426,0,0,1,1
427,0,0,1,1
428,1,0,1,1
429,0,0,1,1
430,1,1,1,1
431,0,1,0,1
432,0,0,1,1
433,0,0,0,1
434,0,0,1,0
435,1,0,1,0
436,0,0,1,1
437,1,0,0,1
438,0,0,0,0
439,0,0,1,0
440,0,0,1,0
441,0,0,0,1
442,0,1,0,1
443,1,0,1,1
444,1,0,1,1
445,1,0,1,1
446,1,0,1,0
447,1,1,0,1
448,0,0,1,0
449,0,0,0,0
450,1,0,0,1
451,0,0,1,1
452,0,0,1,1
453,0,0,0,1
454,0,0,1,1
455,0,0,0,0
456,1,0,0,1
457,0,0,0,1
458,0,1,0,0
459,0,0,0,0
460,0,0,0,0
461,0,0,0,0
462,1,0,1,1
463,0,1,0,1
464,0,0,0,0
465,0,0,1,0
466,0,0,1,0
467,0,0,1,1
468,0,0,1,0
469,0,0,1,1
470,1,0,1,1
471,1,0,0,1
472,0,0,1,0
473,0,0,1,1
474,0,1,0,1
475,0,0,1,0
476,1,1,0,1
477,1,0,1,1
478,0,1,0,1
479,0,0,1,1
480,0,0,1,0
481,0,0,1,1
482,0,0,0,0
483,1,0,1,1
484,0,0,1,0
485,0,0,0,1
486,0,0,0,0
487,0,0,0,1
488,1,0,1,1
489,0,0,1,1
490,1,0,0,0
491,0,0,0,1
492,0,0,1,1
493,0,0,0,1
494,0,0,0,1
495,0,0,1,1
496,0,0,1,0
497,1,0,0,1
498,0,0,1,0
499,0,0,0,0
500,0,0,0,0
501,0,0,1,0
502,1,0,0,1
503,0,0,0,0
504,0,0,1,1
505,0,0,0,1
506,0,0,1,1
507,0,1,1,1
508,0,1,1,1
509,0,1,0,1
510,0,0,0,1
511,0,0,0,0
512,0,0,1,0
513,1,0,0,0
514,0,0,0,0
515,0,0,1,0
516,1,0,1,0
517,0,0,0,0
518,0,0,1,0
519,1,0,0,0
520,0,0,0,1
521,0,0,0,0
522,0,0,0,0
523,0,1,0,1
524,0,0,1,0
525,0,0,1,1
526,0,0,1,1
527,0,0,0,1
528,0,0,0,1
529,1,1,1,1
530,0,0,1,0
531,0,0,0,1
532,0,0,1,0
533,0,1,1,0
534,1,0,0,0
535,0,0,1,1
536,1,0,0,1
537,0,0,1,1
538,1,0,1,0
539,0,0,1,1
540,0,0,1,1
541,1,0,1,1
542,0,0,1,1
543,0,1,1,0
544,0,0,0,0
545,0,0,1,0
546,1,1,0,0
547,0,0,1,0
548,0,0,0,1
549,0,0,1,1
550,0,1,1,0
551,0,0,1,0
552,1,0,0,1
553,1,0,0,0
554,1,0,0,1
555,0,0,0,0
556,0,0,1,1
557,0,0,1,1
558,0,0,1,0
559,0,0,0,0
560,0,0,0,0
561,0,0,0,1
562,0,0,0,0
563,0,0,1,0
564,0,0,1,1
565,1,0,0,1
566,1,0,0,0
567,0,1,0,1
568,0,0,1,1
569,1,0,1,1
570,0,1,0,1
571,0,0,0,1
572,0,0,1,1
573,0,0,1,0
574,0,0,1,0
575,1,0,0,1
576,0,0,1,0
577,0,0,0,1
578,0,0,0,0
579,0,0,1,1
580,0,0,1,1
581,0,0,1,0
582,1,0,1,1
583,0,1,1,1
584,0,0,1,0
585,0,0,0,0
586,0,0,0,1
587,1,0,0,1
588,1,0,1,0
589,1,0,0,1
590,0,0,0,0
591,0,0,1,1
592,1,0,1,1
593,1,1,0,1
594,0,0,1,1
595,1,1,0,0
596,0,0,1,1
597,1,0,1,1
598,0,0,1,0
599,0,0,1,1
600,0,0,1,1
601,0,0,0,0
602,0,0,1,0
603,0,0,1,1
604,0,0,0,1
605,0,0,1,1
606,0,0,0,0
607,0,1,0,1
608,0,0,1,1
609,0,0,1,0
610,0,0,1,1
611,0,0,0,1
612,0,0,0,1
613,1,0,1,0
614,0,0,1,1
615,0,0,1,0
616,1,0,0,1
617,1,1,1,1
618,0,0,0,1
619,0,0,1,1
620,0,0,1,0
621,0,1,0,1
622,0,0,0,0
623,0,0,1,0
624,1,0,1,1
625,0,0,1,0
626,0,0,1,1
627,1,1,1,0
628,0,0,1,1
629,0,0,1,0
630,0,1,0,0
631,0,0,0,1
632,0,0,1,1
633,0,1,1,0
634,1,1,1,1
635,0,1,0,1
636,1,0,1,1
637,0,0,0,0
638,0,1,0,1
639,1,0,0,1
640,1,0,0,1
641,0,0,1,1
642,0,0,0,0
643,1,0,1,1
644,0,0,1,1
645,0,0,0,0
646,0,0,0,0
647,1,0,0,1
648,0,0,1,1
649,0,0,1,1
650,1,0,1,1
651,1,0,1,1
652,0,0,0,1
653,0,0,1,0
654,0,0,0,1
655,0,0,1,1
656,0,0,1,0
657,0,0,0,0
658,1,0,0,1
659,0,0,1,0
660,0,0,0,1
661,0,0,0,1
662,0,0,1,0
663,0,0,1,1
664,0,0,0,1
665,0,1,0,1
666,1,0,0,1
667,0,0,1,1
668,0,0,1,1
669,0,0,0,1
670,0,1,0,1
671,0,0,0,1
672,0,0,1,1
673,0,0,1,1
674,1,0,0,1
675,0,0,1,1
676,0,0,1,0
677,1,0,0,1
678,0,1,0,1
679,0,0,1,1
680,0,0,1,1
681,0,0,0,0
682,1,0,0,0
683,1,1,1,0
684,1,0,1,1
685,0,0,1,1
686,0,0,1,0
687,0,0,1,1
688,0,0,1,0
689,0,0,1,0
690,1,1,1,1
691,0,0,1,1
692,0,0,0,0
693,1,0,0,1
694,1,0,0,1
695,0,0,1,1
696,0,0,0,1
697,0,0,1,1
698,0,1,0,0
699,0,0,1,1
700,1,0,0,1
701,0,0,1,0
702,1,0,1,1
703,1,0,1,0
704,0,0,0,0
705,1,0,0,1
706,0,0,0,1
707,0,0,1,1
708,0,0,1,1
709,1,0,1,1
710,0,0,1,0
711,0,0,0,0
712,0,0,0,0
713,0,0,1,1
714,0,0,1,0
715,0,0,1,0
716,0,0,0,0
717,0,0,0,0
718,0,0,0,1
719,0,0,1,0
720,0,0,1,0
721,0,0,1,1
722,0,0,1,0
723,0,0,0,0
724,0,0,0,1
725,0,0,1,0
726,0,0,1,1
727,0,0,0,0
728,0,0,0,0
729,0,0,0,1
730,0,0,0,1
731,0,1,1,1
732,1,1,1,1
733,0,0,1,0
734,0,1,1,1
735,0,0,0,1
736,0,1,0,1
737,1,0,0,0
738,1,0,1,1
739,1,0,0,1
740,0,0,0,0
741,0,0,1,1
742,0,1,1,1
743,1,1,0,1
744,0,1,0,1
745,0,0,1,1
746,0,0,1,0
747,1,0,1,0
748,0,0,0,1
749,1,0,1,1
750,0,0,0,1
751,0,1,0,1
752,0,0,1,0
753,0,0,1,1
754,0,0,0,1
755,0,0,1,0
756,0,0,0,0
757,0,0,1,0
758,0,0,1,0
759,0,0,1,0
760,1,0,0,0
761,0,1,0,1
762,0,0,1,1
763,0,0,1,0
764,1,1,0,0
765,0,0,1,0
766,0,0,0,1
767,0,0,1,1
768,0,0,1,1
769,0,0,1,1
770,0,0,0,1
771,1,0,1,1
772,0,0,1,1
773,1,0,0,1
774,1,0,1,1
775,1,0,1,0
776,0,1,0,1
777,0,0,1,1
778,0,0,0,0
779,0,0,0,1
780,0,1,0,1
781,0,0,0,0
782,0,0,1,1
783,0,1,1,0
784,0,0,1,1
785,0,0,0,1
786,1,0,1,0
787,0,0,1,0
788,1,0,1,1
789,0,0,0,1
790,0,0,0,0
791,0,0,1,0
792,1,0,0,1
793,1,0,1,1
794,0,0,1,1
795,0,0,0,0
796,0,0,1,1
797,0,0,0,0
798,0,0,0,1
799,1,0,0,0
800,0,0,0,1
801,0,0,0,1
802,0,0,1,0
803,0,0,1,0
804,0,0,1,0
805,0,0,0,1
806,1,0,0,1
807,0,0,1,0
808,0,1,0,1
809,0,0,1,1
810,1,1,0,1
811,0,0,0,0
812,1,0,0,1
813,0,0,1,1
814,1,1,1,0
815,0,0,1,0
816,0,0,0,1
817,0,0,1,0
818,0,0,0,0
819,1,0,0,0
820,0,1,0,1
821,0,0,1,0
822,0,0,1,0
823,0,1,0,1
824,0,0,0,1
825,1,0,0,1
826,0,0,1,1
827,1,0,1,1
828,1,0,0,0
829,0,0,0,1
830,1,0,0,0
831,0,0,0,1
832,0,1,0,1
833,0,0,1,1
834,1,0,0,0
835,0,0,0,0
836,0,0,1,1
837,0,0,1,1
838,1,0,0,1
839,1,0,1,0
840,0,0,0,0
841,0,0,0,1
842,0,0,0,1
843,0,0,0,1
844,0,0,0,1
845,0,0,1,1
846,1,0,0,0
847,0,0,0,1
848,0,0,0,1
849,0,0,0,0
850,0,0,0,0
851,0,0,0,0
852,0,0,0,0
853,0,0,1,1
854,1,1,0,1
855,0,0,0,1
856,0,0,1,1
857,0,0,1,0
858,0,1,0,1
859,0,0,0,1
860,0,0,1,1
861,0,0,1,1
862,0,0,1,0
863,0,0,0,0
864,0,0,0,1
865,0,0,1,0
866,1,0,1,1
867,1,0,0,0
868,0,0,0,1
869,0,0,0,0
870,0,0,0,1
871,0,1,0,1
872,0,0,1,1
873,0,0,1,1
874,0,0,1,1
875,1,0,0,1
876,0,0,1,1
877,0,0,0,0
878,0,0,1,1
879,0,0,0,0
880,0,0,1,0
881,0,0,1,1
882,0,0,0,0
883,0,0,1,1
884,1,0,1,1
885,1,1,0,1
886,0,1,1,1
887,0,0,0,1
888,1,0,1,1
889,0,0,0,0
890,0,0,1,1
891,0,0,0,1
892,0,0,1,1
893,0,0,0,1
894,0,0,1,0
895,0,0,0,1
896,0,0,1,0
897,0,0,1,1
898,0,1,0,1
899,0,0,0,0
900,0,0,1,0
901,0,0,0,1
902,0,0,0,1
903,0,0,0,1
904,0,0,0,0
905,0,0,1,1
906,0,0,1,0
907,0,0,0,1
908,1,0,0,1
909,0,0,1,1
910,0,0,1,1
911,0,0,1,0
912,0,0,1,1
913,0,0,1,1
914,1,1,1,0
915,0,0,1,1
916,0,0,0,0
917,0,0,1,1
918,1,0,1,1
919,0,0,1,1
920,0,0,1,1
921,0,0,1,1
922,1,0,0,1
923,0,1,0,1
924,0,0,1,0
925,0,0,1,1
926,0,1,1,1
927,0,0,1,1
928,0,1,0,1
929,0,0,1,0
930,1,0,1,0
931,0,0,0,0
932,0,0,1,0
933,0,0,1,1
934,0,0,1,1
935,1,0,0,1
936,0,0,1,0
937,0,0,1,1
938,0,0,1,1
939,0,0,0,1
940,0,1,0,1
941,0,0,0,0
942,0,0,1,1
943,0,1,0,0
944,0,0,1,0
945,0,0,0,0
946,0,0,1,1
947,0,1,1,0
948,0,0,1,0
949,0,0,0,1
950,0,0,1,1
951,0,0,0,0
952,0,0,1,1
953,0,1,1,1
954,0,0,1,1
955,1,0,0,0
956,0,0,1,1
957,0,0,0,0
958,0,0,1,0
959,0,1,1,1
960,1,0,1,1
961,0,0,1,0
962,0,1,1,0
963,0,0,1,0
964,0,0,0,1
965,0,0,1,1
966,1,0,1,1
967,0,0,1,1
968,0,0,1,1
969,1,0,1,1
970,0,0,1,1
971,0,0,0,1
972,0,0,1,1
973,1,0,1,1
974,1,0,1,1
975,0,0,0,1
976,0,0,1,1
977,0,0,0,1
978,0,0,0,0
979,0,0,0,0
980,1,0,0,1
981,1,0,0,1
982,0,0,1,1
983,1,0,0,1
984,0,0,0,1
985,1,0,0,1
986,1,0,1,0
987,0,1,1,1
988,0,0,1,1
989,1,0,0,1
990,0,0,1,0
991,0,0,0,1
992,0,1,0,1
993,0,0,0,0
994,0,0,1,1
995,1,0,1,1
996,1,0,0,1
997,0,0,1,1
998,1,0,0,0
999,0,1,0,0
1000,0,1,1,0
1001,0,0,0,0
1002,0,0,1,0
1003,0,0,0,0
1004,0,0,1,1
1005,0,0,0,0
1006,0,0,0,0
1007,0,1,0,1
1008,0,0,1,0
1009,0,0,1,0
1010,0,0,1,1
1011,0,0,0,0
1012,0,0,1,1
1013,1,0,1,1
1014,0,0,1,1
1015,0,0,1,1
1016,0,0,1,1
1017,1,0,1,0
1018,0,0,0,0
1019,0,0,1,0
1020,0,0,1,1
1021,0,0,1,1
1022,1,0,0,1
1023,1,0,0,1
1024,0,0,1,1
1025,0,0,0,1
1026,0,1,0,1
1027,0,0,1,1
1028,1,0,0,1
1029,1,0,1,1
1030,0,0,0,0
1031,0,1,1,1
1032,1,0,0,1
1033,0,0,1,1
1034,0,0,1,1
1035,0,0,1,0
1036,0,0,0,0
1037,1,0,1,1
1038,0,0,0,1
1039,1,0,1,1
1040,0,0,0,1
1041,0,0,0,0
1042,0,0,0,1
1043,0,0,0,0
1044,0,0,1,0
1045,0,0,1,1
1046,0,0,0,0
1047,1,0,1,1
1048,1,0,0,1
1049,0,1,0,0
1050,0,1,1,1
1051,0,0,1,0
1052,0,1,1,0
1053,1,0,1,0
1054,0,0,1,1
1055,0,1,0,1
1056,0,0,1,0
1057,1,0,0,1
1058,1,0,0,1
1059,0,1,0,1
1060,0,1,1,1
1061,0,1,1,0
1062,0,1,1,1
1063,0,1,0,0
1064,0,0,1,1
1065,0,0,1,1
1066,1,0,1,1
1067,0,1,1,1
1068,0,0,1,1
1069,0,0,1,1
1070,0,1,0,1
1071,0,0,0,1
1072,0,0,1,1
1073,0,0,0,0
1074,0,0,1,0
1075,1,0,1,1
1076,0,0,0,1
1077,1,0,1,0
1078,0,0,1,1
1079,0,0,1,1
1080,0,0,1,1
1081,0,0,1,1
1082,1,0,0,1
1083,1,0,0,1
1084,0,0,1,0
1085,0,0,1,1
1086,0,0,1,1
1087,0,0,0,0
1088,0,1,1,1
1089,0,1,0,0
1090,1,0,1,1
1091,0,0,1,1
1092,1,0,0,1
1093,1,0,1,0
1094,0,0,1,1
1095,0,0,1,1
1096,0,0,1,1
1097,0,0,1,1
1098,0,0,1,0
1099,0,0,0,0
1100,0,0,1,1
1101,0,0,1,0
1102,0,0,0,1
1103,0,1,0,1
1104,0,0,1,1
1105,0,0,1,0
1106,0,0,0,1
1107,0,0,1,0
1108,0,0,1,1
1109,0,0,0,1
1110,0,0,1,0
1111,0,0,0,1
1112,1,1,0,0
1113,1,0,0,1
1114,0,0,1,0
1115,1,0,0,0
1116,0,0,0,0
1117,0,0,0,0
1118,0,1,0,1
1119,0,1,0,1
1120,1,0,0,1
1121,0,0,1,0
1122,0,0,1,1
1123,1,0,1,1
1124,0,0,0,1
1125,0,0,0,1
1126,0,0,1,0
1127,0,1,1,0
1128,0,1,0,0
1129,0,0,1,0
1130,0,0,1,0
1131,0,0,1,1
1132,0,0,1,1
1133,1,0,0,1
1134,1,1,1,1
1135,0,0,0,0
1136,0,0,0,0
1137,0,0,1,0
1138,0,0,0,1
1139,0,1,1,1
1140,0,0,1,0
1141,0,1,0,0
1142,0,0,0,0
1143,0,0,1,1
1144,1,0,0,1
1145,0,0,0,1
1146,0,0,0,0
1147,0,0,1,1
1148,1,0,1,1
1149,0,0,0,1
1150,0,0,1,1
1151,0,0,1,1
1152,0,0,1,1
1153,0,0,1,0
1154,0,1,1,0
1155,0,1,1,0
1156,0,0,1,1
1157,0,0,1,1
1158,0,0,0,0
1159,1,0,1,1
1160,0,1,1,1
1161,1,0,0,0
1162,0,0,0,1
1163,1,0,0,1
1164,0,0,0,0
1165,0,0,1,1
1166,0,1,0,0
1167,0,0,1,1
1168,0,0,1,1
1169,0,0,1,1
1170,0,0,0,0
1171,0,0,0,1
1172,0,1,0,1
1173,1,0,1,1
1174,0,0,0,0
1175,0,0,0,0
1176,0,1,1,1
1177,1,0,0,1
1178,0,0,1,0
1179,0,0,1,1
1180,0,0,0,1
1181,1,0,0,1
1182,0,0,1,1
1183,0,0,1,1
1184,0,1,1,1
1185,1,0,1,1
1186,0,0,0,1
1187,1,0,1,1
1188,0,0,1,1
1189,0,0,1,1
1190,0,0,0,0
1191,0,0,1,1
1192,1,1,0,1
1193,0,0,0,0
1194,0,0,1,1
1195,0,0,1,0
1196,0,0,0,0
1197,0,0,1,0
1198,0,0,1,1
1199,1,0,0,1
1200,0,0,0,1
1201,0,1,0,0
1202,0,0,1,1
1203,1,0,1,1
1204,1,0,0,1
1205,0,0,1,0
1206,0,1,0,0
1207,1,1,0,1
1208,0,0,0,0
1209,1,0,0,1
1210,0,0,1,0
1211,1,1,0,1
1212,1,0,1,1
1213,0,0,0,0
1214,1,0,0,1
1215,1,0,0,1
1216,0,1,0,0
1217,1,0,0,1
1218,1,1,1,1
1219,0,0,1,1
1220,1,0,0,1
1221,1,0,1,0
1222,0,0,1,0
1223,0,0,1,1
1224,1,0,1,1
1225,0,0,0,0
1226,0,0,1,1
1227,1,1,1,0
1228,0,0,1,1
1229,0,0,0,0
1230,0,0,1,0
1231,0,0,0,0
1232,0,0,0,0
1233,0,0,1,1
1234,1,0,0,1
1235,0,0,0,0
1236,1,0,1,1
1237,0,0,1,0
1238,0,0,1,1
1239,0,1,1,1
1240,1,1,0,0
1241,0,0,1,1
1242,1,0,1,1
1243,0,0,0,1
1244,0,0,0,0
1245,0,0,0,0
1246,0,0,1,1
1247,1,0,0,0
1248,1,0,1,1
1249,1,0,1,0
1250,0,0,1,1
1251,0,1,1,1
1252,0,0,0,1
1253,0,0,1,1
1254,0,0,1,0
1255,1,0,1,1
1256,0,0,0,0
1257,0,0,1,1
1258,0,0,1,1
1259,0,0,1,0
1260,0,0,1,0
1261,1,0,0,1
1262,0,0,1,0
1263,0,0,0,1
1264,1,0,0,1
1265,0,0,1,1
1266,1,0,1,1
1267,1,0,0,0
1268,0,1,1,0
1269,0,0,1,0
1270,0,0,0,1
1271,0,0,1,1
1272,0,0,0,1
1273,0,0,1,1
1274,0,0,0,0
1275,0,0,0,0
1276,0,0,1,0
1277,0,0,1,0
1278,1,0,0,1
1279,1,1,0,1
1280,0,1,0,1
1281,1,0,0,1
1282,0,0,1,0
1283,0,0,0,1
1284,0,0,1,0
1285,1,0,0,1
1286,0,0,0,0
1287,1,0,0,1
1288,0,0,0,0
1289,0,0,0,1
1290,0,1,0,1
1291,0,0,0,1
1292,0,0,1,0
1293,1,0,1,1
1294,0,1,0,0
1295,0,0,0,1
1296,0,0,1,1
1297,0,0,1,0
1298,0,0,1,0
1299,0,0,1,0
1300,0,0,1,1
1301,0,0,1,0
1302,0,0,1,1
1303,1,1,0,1
1304,0,0,1,0
1305,0,0,1,1
1306,0,1,1,0
1307,0,0,1,1
1308,1,0,0,1
1309,1,0,0,1
1310,0,0,1,1
1311,0,0,1,1
1312,1,0,1,1
1313,0,1,0,0
1314,0,0,1,1
1315,0,0,0,0
1316,0,0,1,1
1317,0,0,1,1
1318,0,0,1,0
1319,0,1,1,1
1320,0,0,1,1
1321,0,0,1,0
1322,1,0,0,1
1323,0,0,0,1
1324,0,0,0,1
1325,0,1,0,1
1326,1,0,0,1
1327,0,0,0,1
1328,0,1,0,1
1329,0,0,1,0
1330,0,1,0,1
1331,0,0,1,1
1332,0,0,0,1
1333,0,0,0,1
1334,1,0,1,0
1335,1,0,1,1
1336,1,0,1,0
1337,0,0,0,1
1338,0,0,1,0
1339,1,0,0,0
1340,0,0,0,1
1341,1,0,0,0
1342,0,0,0,0
1343,0,0,1,1
1344,0,1,0,1
1345,1,0,1,1
1346,0,0,1,1
1347,1,0,1,1
1348,0,0,1,0
1349,0,1,1,0
1350,0,0,1,0
1351,0,0,1,0
1352,0,0,1,0
1353,0,0,1,0
1354,0,0,1,0
1355,0,0,0,0
1356,0,0,1,1
1357,0,0,1,1
1358,0,0,1,0
1359,0,0,1,0
